strems	Abundance	Richness	common_species	dominant_species
1	103.00	8.00	2.93	1.84
2	221.00	9.00	2.42	1.61
3	37.00	8.00	4.59	3.52
4	16.00	6.00	4.53	3.76
5	38.00	5.00	3.37	2.91
6	181.00	15.00	5.15	3.20
7	270.00	10.00	1.97	1.41
8	33.00	7.00	4.03	2.86
9	84.00	6.00	2.02	1.43
10	20.00	5.00	2.86	2.13
11	146.00	9.00	4.23	3.47
12	107.00	11.00	4.94	3.47
13	65.00	7.00	3.56	2.48
14	42.00	8.00	4.30	2.99
15	366.00	31.00	11.60	6.61
16	341.00	29.00	10.42	7.22
17	114.00	23.00	13.25	8.02
18	181.00	22.00	12.62	8.72
19	183.00	17.00	4.93	2.87
20	744.00	35.00	7.27	3.51
21	32.00	4.00	3.71	3.48
22	4.00	2.00	1.75	1.60
23	63.00	3.00	1.93	1.71
24	60.00	2.00	1.22	1.10
25	30.00	1.00	1.00	1.00
26	2.00	1.00	1.00	1.00
27	67.00	12.00	4.10	2.74
30	7.00	2.00	1.82	1.69
31	91.00	16.00	8.92	5.64
32	113.00	21.00	10.45	5.68
33	111.00	13.00	4.61	2.74
