Site	Acestrorhynchus_pantaneiro 	Aequidens_plagiozonatus 	Ancistrus_claro 	Ancistrus_cuiabae	Aphyocharax_anisitsi	Aphyocharax_dentatus 	Aphyocharax_nattereri	Apistogramma_commbrae 	Astronotus_crassipinnis 	Astyanax_lacustris 	Astyanax_lineatus 	Astyanax_marionae 	Astyanax_moorii 	Bryconamericus_exodon 	Bryconops_melanurus	Bujurquina_vittata	Callichthys_callichthys 	Cetopsis_sandrae 	Chaetobranchopsis_australis 	Characidium_zebra 	Charax_leticiae	Cichlasoma_dimerus 	Corydoras_aeneus 	Corydoras_areio 	Corydoras_hastatus 	Corydoras_polystictus 	Crenicichla_lepidota 	Curculionichthys_coxipone 	Curculionichthys_luteofrenatus 	Cyphocharax_gillii 	Farlowella_isbruckeri 	Gymnocorymbus_ternetzi	Gymnotus_paraguensis	Gymnotus_sylvius 	Hemigrammus_machadoi 	Hemigrammus_neptunus 	Hoplerythrinus_unitaeniatus 	Hoplias_malabaricus 	Hyphessobrycon_eques 	Hyphessobrycon_herbertaxelrodi 	Hypostomus_boulengeri 	Hypostomus_khimaera 	Hypostomus_sp	Imparfinis_sp	Imparfinis_stictonotus 	Ituglanis_eichorniarum 	Jupiaba_acanthogaster 	Knodus_chapadae 	Leporinus_lacustris 	Leporinus_octomaculatus 	Leporinus_striatus 	Lepthoplosternum_pectorale	Loricaria_simillima 	Melanorivulus_zygonectes 	Metynnis_mola 	Moenkhausia_bonita 	Moenkhausia_lopesi 	Moenkhausia_oligolepis 	Odontostilbe_pequira 	Otocinclus_vittatus 	Phenacogaster_jancupa 	Phenacogaster_tegatus	Phenacorhamdia_hoehnei	Piabarchus_torrenticola 	Pimelodella_gracilis 	Poptella_paraguayensis 	Potamorrhaphis_eigenmanni 	Psellogrammus_kennedyi 	Pterobunocephalus_depressus	Pyrrhulina_australis 	Rhamdia_quelen 	Rineloricaria_aurata	Rineloricaria_lanceolata	Rineloricaria_parva	Roeboides_descalvadensis	Satanoperca_pappaterra	Serrapinnus_calliurus 	Serrapinnus_microdon 	Steindachnerina_brevipinna 	Synbranchus_marmoratus 	Tatia_neivai 	Trachelyopterus_galeatus 	Trichomycterus_sp	Triportheus_nematurus 	Xenurobrycon_macropus 
S1	0	0	0	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	75	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S2	0	0	0	3	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	172	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S3	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
S4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
S5	0	0	0	0	0	0	0	0	0	18	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S6	0	0	0	3	0	0	0	0	0	8	2	6	1	0	0	0	3	0	0	27	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	93	0	26	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
S7	0	0	2	0	0	0	0	0	0	23	1	1	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S8	0	0	0	6	0	0	0	0	0	18	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S9	0	0	0	0	0	0	0	0	0	4	4	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
