strems	native_vegetation	reforestation	pasture	agriculture	urban	mining	waterbodies	width	depth	oxygen	temperature	conductivity	turbidity	STS 	pH	chlorophyll	CPOM	macrophytes	submerged_riparian	clay	sand	gravel	pebble	boulder 
S1	9.21	0.00	7.62	0.09	0.00	0.00	0.01	473.19	29.72	5.10	22.70	635.30	0.44	40.00	8.01	2.14	17.00	0.00	0.00	0.00	5.00	21.67	14.67	41.67
S2	2.95	0.00	2.43	0.00	0.00	0.00	0.00	178.38	11.80	3.90	23.10	813.90	0.77	18.18	7.40	2.60	59.50	0.00	0.00	0.00	6.67	1.67	17.17	15.00
S3	1.98	0.00	1.84	0.00	0.00	0.00	0.00	371.72	37.50	3.80	24.10	57.29	3.50	8.00	6.80	1.46	43.17	0.00	3.33	0.83	21.67	25.50	4.67	0.00
S4	0.78	0.00	0.92	0.00	0.00	0.00	0.00	240.61	11.50	4.80	25.90	84.00	2.30	64.00	7.18	1.44	30.33	0.00	0.00	0.00	7.50	21.67	4.50	36.00
S5	4.99	0.00	1.89	0.00	0.00	0.00	0.02	329.64	14.98	5.60	24.00	96.44	2.30	10.91	6.80	0.54	38.83	0.00	0.00	0.00	1.67	30.00	12.83	16.67
S6	0.12	0.00	0.01	0.00	0.00	0.00	0.00	106.81	8.77	4.20	28.80	44.35	5.80	12.73	6.41	0.23	32.33	0.00	0.00	0.00	4.17	20.83	21.00	21.67
S7	3.22	0.00	0.95	0.04	0.00	0.00	0.06	303.54	9.63	3.70	21.50	0.02	0.61	59.26	7.21	3.78	47.83	0.00	0.00	0.00	7.50	20.50	6.67	17.50
S8	4.26	0.00	2.09	0.00	0.00	0.00	0.00	255.43	17.02	6.20	20.10	260.70	1.08	1.82	7.34	2.31	37.76	0.00	0.00	0.00	6.90	1.72	34.66	18.97
S9	7.08	0.00	2.80	0.00	0.00	0.00	0.04	337.37	14.47	4.10	22.70	354.50	1.62	18.52	7.55	0.41	14.50	0.00	0.00	0.00	5.00	5.00	10.83	64.67
S10	9.54	0.00	5.02	0.00	0.00	0.00	0.01	468.83	18.34	5.90	26.60	307.20	0.60	9.26	7.63	1.67	41.50	0.00	0.00	0.00	3.33	15.50	23.00	16.67
S11	22.82	0.00	4.45	0.00	0.00	0.00	0.01	334.39	19.65	5.40	27.00	117.50	0.47	7.41	7.32	0.08	33.00	0.00	0.00	0.00	36.17	10.00	1.67	19.17
